line,stationname,stationcode
LINE 1,Dilshad Garden,DSG
LINE 1,Jhilmil,JLML
LINE 1,Mansarover Park,MPK
LINE 1,Shahdara,SHD
LINE 1,Welcome,WC
LINE 1,Seelampur,SLAP
LINE 1,Shastri Park,SHPK
LINE 1,Kashmere Gate,KGR
LINE 1,Tis Hazari,TZI
LINE 1,Pulbangash,PBGH
LINE 1,Pratap Nagar,PRA
LINE 1,Shastri Nagar,SHT
LINE 1,Inder Lok ,ILOK
LINE 1,Kanhaiya Nagar,KN
LINE 1,Keshav Puram,KP
LINE 1,Netaji Subhash Place,NSHP
LINE 1,Kohat Enclave,KE
LINE 1,Rohini East,PTP
LINE 1,Rohini West,RHE
LINE 1,Rithala,RHW
LINE 2,samaypur badli,SPBI
LINE 2,Haiderpur badli Mor,BIMR
LINE 2,Rohini Sector-18,RISE
LINE 2,Jahangir Puri,JGPI
LINE 2,Adrash Nagar(ADNR),ADNR
LINE 2,Azadpur(AZU),AZU
LINE 2,Model Town(MDTW),MDTW
LINE 2,GTB Nagar(GTBN),GTBN
LINE 2,Vishwa Vidyalaya,VW
LINE 2,Vidhan Sabha,VS
LINE 2,Civil LINEs,CL
LINE 2,Kashmere gate,KGM
LINE 2,Chandni Chowk,CHK
LINE 2,Chawari Bazar,CWBR
LINE 2,New Delhi,NDI
LINE 2,Rajeev Chowk,RCK
LINE 2,Patel Chowk,PTCK
LINE 2,Central Secretraiat,CTST
LINE 2,Udyog Bhawan,UDB
LINE 2,Race Course,RCC
LINE 2,Jor Bagh,JB
LINE 2,INA,INA
LINE 2,AIIMS,AIIM
LINE 2,Green Park,GNPK
LINE 2,Hauz Khas,HKS
LINE 2,Malviya Nagar,MVNR
LINE 2,Saket,SAKT
LINE 2,Qutub Minar,QM
LINE 2,Chattarpur,CHTP
LINE 2,Sultanpur,SLTP
LINE 2,Ghitorni,GTNI
LINE 2,Arjangarh,AJG
LINE 2,Gurudrona Charya,GE
LINE 2,Sikander Pur,SKRP
LINE 2,MG Road,MGRO
LINE 2,IFFCO Chowk,IFOC
LINE 3,HUDA City Center,HCC
LINE 3,Noida City Centre(NCC),NCC
LINE 3,Golf Course(GCE),GEC
LINE 3,Botanical Garden(BCGN),BCGN
LINE 3,Noida Sector-18(NSET),NSET
LINE 3,Noida Sector-16(NSST),NSST
LINE 3,Noida Sector-15(NSFT),NSFT
